iter	Passed	Remaining
0	60	60508
1	70	35231
2	71	23597
3	71	17777
4	71	14281
5	72	11931
6	72	10250
7	72	8988
8	72	8007
9	76	7618
10	77	6956
11	77	6403
12	78	5934
13	79	5569
14	79	5209
15	79	4892
16	79	4613
17	80	4365
18	80	4143
19	80	3943
20	80	3762
21	80	3597
22	81	3447
23	81	3309
24	81	3183
25	81	3066
26	82	2957
27	82	2856
28	82	2762
29	82	2675
30	82	2593
31	83	2516
32	83	2444
33	83	2376
34	83	2312
35	84	2252
36	84	2194
37	84	2140
38	84	2089
39	85	2040
40	85	1993
41	85	1953
42	86	1915
43	86	1878
44	86	1842
45	87	1824
46	88	1792
47	88	1761
48	89	1730
49	89	1701
50	89	1673
51	90	1647
52	90	1621
53	91	1597
54	91	1573
55	91	1550
56	92	1528
57	92	1506
58	93	1486
59	93	1467
60	94	1447
61	94	1428
62	94	1409
63	95	1392
64	95	1375
65	95	1358
66	96	1343
67	96	1327
68	97	1312
69	97	1298
70	98	1283
71	98	1269
72	98	1255
73	99	1241
74	99	1229
75	100	1217
76	100	1205
77	100	1193
78	101	1181
79	101	1169
80	102	1158
81	102	1153
82	103	1139
83	103	1129
84	103	1119
85	104	1109
86	104	1099
87	105	1089
88	105	1080
89	105	1070
90	106	1062
91	106	1053
92	107	1045
93	107	1036
94	107	1028
95	108	1019
96	108	1011
97	109	1003
98	111	1017
99	112	1009
100	112	1001
101	112	994
102	113	986
103	113	979
104	114	972
105	114	965
106	114	958
107	115	952
108	115	946
109	116	940
110	116	933
111	116	927
112	117	921
113	117	915
114	118	909
115	118	903
116	118	897
117	119	892
118	119	886
119	120	881
120	120	875
121	120	869
122	121	864
123	121	859
124	122	854
125	122	849
126	122	843
127	123	838
128	123	834
129	124	830
130	124	825
131	124	820
132	125	816
133	125	811
134	125	807
135	126	802
136	126	797
137	126	792
138	127	787
139	127	781
140	127	776
141	127	771
142	127	766
143	128	761
144	128	756
145	128	751
146	128	747
147	129	743
148	129	739
149	129	736
150	130	732
151	130	728
152	131	725
153	131	720
154	131	716
155	131	712
156	131	708
157	132	704
158	132	700
159	132	696
160	132	691
161	133	688
162	133	685
163	133	682
164	134	679
165	134	676
166	135	673
167	135	670
168	135	667
169	136	664
170	136	661
171	136	658
172	137	655
173	137	651
174	137	648
175	137	644
176	137	641
177	138	637
178	138	635
179	138	632
180	139	630
181	139	627
182	139	625
183	140	622
184	140	620
185	141	617
186	152	663
187	154	665
188	154	662
189	154	660
190	155	660
191	156	656
192	156	653
193	156	650
194	156	647
195	157	644
196	157	641
197	157	637
198	157	634
199	157	631
200	158	628
201	158	625
202	158	622
203	158	619
204	159	616
205	159	613
206	159	611
207	159	608
208	159	605
209	160	602
210	160	599
211	160	597
212	161	595
213	161	593
214	161	591
215	162	589
216	162	587
217	163	585
218	163	582
219	163	580
220	164	579
221	164	576
222	164	574
223	165	572
224	165	571
225	166	569
226	166	567
227	166	565
228	167	563
229	167	561
230	168	559
231	168	557
232	168	554
233	168	552
234	174	569
235	175	567
236	175	565
237	176	563
238	176	561
239	176	560
240	177	558
241	177	556
242	178	554
243	178	552
244	178	551
245	179	549
246	179	547
247	179	545
248	180	543
249	180	542
250	181	540
251	181	537
252	181	535
253	181	533
254	182	532
255	197	573
256	197	571
257	198	570
258	198	568
259	199	566
260	199	564
261	199	562
262	200	560
263	200	559
264	200	557
265	201	555
266	201	553
267	202	551
268	202	550
269	205	555
270	205	553
271	206	552
272	206	550
273	206	548
274	207	546
275	207	544
276	207	542
277	208	540
278	208	538
279	208	536
280	208	534
281	209	532
282	209	530
283	209	529
284	210	527
285	210	525
286	210	523
287	210	521
288	211	519
289	211	517
290	211	515
291	212	514
292	212	512
293	212	510
294	212	508
295	213	506
296	213	505
297	213	503
298	214	501
299	214	500
300	214	498
301	214	496
302	215	495
303	215	493
304	215	491
305	215	489
306	216	487
307	216	486
308	216	484
309	217	483
310	217	481
311	217	479
312	217	477
313	218	476
314	218	474
315	218	473
316	219	471
317	219	470
318	219	468
319	219	467
320	220	465
321	220	464
322	220	462
323	221	461
324	221	459
325	221	457
326	221	456
327	222	454
328	222	453
329	222	451
330	223	451
331	223	450
332	224	448
333	224	447
334	224	445
335	224	444
336	225	442
337	225	441
338	225	439
339	225	438
340	226	436
341	226	435
342	226	434
343	226	432
344	227	431
345	228	431
346	228	429
347	228	428
348	228	426
349	229	425
350	229	424
351	229	422
352	229	421
353	230	420
354	230	418
355	230	417
356	231	416
357	231	414
358	231	413
359	231	412
360	232	410
361	232	409
362	232	408
363	232	406
364	233	405
365	233	404
366	233	403
367	233	401
368	234	400
369	234	399
370	234	398
371	235	396
372	235	395
373	235	394
374	235	393
375	236	391
376	236	390
377	236	389
378	236	388
379	237	386
380	237	385
381	237	384
382	237	383
383	238	381
384	238	380
385	238	379
386	238	378
387	238	376
388	239	375
389	239	374
390	239	373
391	239	372
392	240	370
393	240	369
394	240	368
395	240	367
396	241	366
397	241	365
398	241	364
399	242	363
400	242	361
401	242	360
402	242	359
403	242	358
404	243	357
405	243	356
406	243	355
407	244	354
408	244	353
409	244	351
410	244	350
411	244	349
412	245	348
413	245	347
414	245	346
415	245	345
416	246	344
417	246	343
418	246	342
419	246	341
420	247	340
421	247	339
422	247	338
423	248	337
424	248	335
425	248	334
426	248	333
427	249	332
428	249	331
429	249	330
430	249	329
431	249	328
432	250	327
433	250	326
434	250	325
435	250	324
436	251	323
437	251	322
438	251	321
439	252	320
440	252	319
441	252	318
442	252	317
443	253	316
444	253	315
445	253	315
446	253	314
447	254	313
448	254	312
449	254	311
450	254	310
451	255	309
452	255	308
453	255	307
454	255	306
455	255	305
456	256	304
457	256	303
458	256	302
459	256	301
460	257	300
461	257	299
462	257	298
463	258	298
464	258	297
465	258	296
466	258	295
467	259	294
468	259	293
469	259	292
470	259	291
471	260	290
472	260	290
473	260	289
474	260	288
475	261	287
476	261	286
477	261	285
478	261	284
479	262	283
480	262	282
481	262	282
482	262	281
483	263	280
484	263	279
485	263	278
486	263	277
487	264	277
488	264	276
489	264	275
490	264	274
491	264	273
492	265	272
493	265	271
494	265	271
495	265	270
496	266	269
497	266	268
498	266	267
499	267	267
500	267	266
501	267	265
502	267	264
503	268	263
504	268	263
505	268	262
506	268	261
507	269	260
508	269	259
509	269	259
510	269	258
511	270	257
512	270	256
513	270	256
514	271	255
515	271	254
516	271	253
517	271	252
518	272	252
519	272	251
520	272	250
521	272	249
522	273	249
523	273	248
524	273	247
525	273	246
526	274	246
527	274	245
528	274	244
529	275	243
530	275	243
531	275	242
532	275	241
533	276	240
534	276	240
535	276	239
536	276	238
537	277	237
538	277	237
539	277	236
540	277	235
541	277	234
542	278	234
543	278	233
544	278	232
545	278	231
546	279	231
547	279	230
548	279	229
549	280	229
550	280	228
551	280	227
552	280	227
553	281	226
554	281	225
555	281	224
556	281	224
557	282	223
558	282	222
559	282	222
560	282	221
561	283	220
562	283	220
563	283	219
564	283	218
565	284	217
566	284	217
567	284	216
568	284	215
569	285	215
570	285	214
