iter	Passed	Remaining
0	63	63072
1	63	31752
2	63	21237
3	67	16726
4	68	13569
5	69	11507
6	76	10900
7	77	9561
8	81	8942
9	81	8087
10	83	7527
11	84	6931
12	84	6425
13	84	5981
14	87	5743
15	87	5401
16	88	5104
17	88	4841
18	88	4593
19	90	4458
20	91	4263
21	91	4085
22	92	3923
23	92	3775
24	93	3638
25	93	3512
26	94	3396
27	95	3315
28	95	3207
29	96	3105
30	98	3075
31	98	2984
32	98	2899
33	99	2819
34	99	2743
35	102	2734
36	102	2665
37	102	2598
38	102	2537
39	103	2480
40	109	2560
41	111	2541
42	111	2486
43	112	2433
44	112	2382
45	112	2334
46	114	2326
47	116	2306
48	116	2262
49	119	2261
50	119	2221
51	119	2181
52	119	2142
53	120	2105
54	120	2069
55	121	2046
56	121	2015
57	123	2009
58	124	1977
59	124	1947
60	124	1917
61	124	1888
62	125	1860
63	125	1833
64	125	1807
65	125	1781
66	126	1757
67	126	1733
68	127	1716
69	127	1693
70	127	1671
71	128	1651
72	128	1630
73	128	1610
74	128	1590
75	129	1571
76	129	1552
77	129	1536
78	130	1520
79	130	1505
80	132	1501
81	132	1484
82	132	1467
83	133	1451
84	133	1435
85	133	1420
86	133	1405
87	134	1390
88	134	1375
89	134	1361
90	135	1349
91	135	1337
92	135	1325
93	136	1313
94	136	1302
95	137	1290
96	137	1279
97	137	1268
98	138	1258
99	138	1248
100	139	1238
101	141	1248
102	142	1237
103	142	1226
104	142	1215
105	142	1204
106	142	1193
107	143	1183
108	143	1172
109	143	1164
110	144	1156
111	144	1148
112	145	1140
113	145	1132
114	145	1123
115	146	1115
116	146	1108
117	147	1098
118	147	1090
119	147	1082
120	148	1075
121	148	1069
122	148	1060
123	149	1054
124	149	1046
125	149	1038
126	150	1031
127	150	1025
128	150	1019
129	151	1013
130	151	1005
131	151	997
132	152	991
133	152	984
134	152	979
135	153	972
136	153	966
137	153	960
138	154	954
139	154	948
140	154	941
141	155	937
142	155	932
143	155	927
144	156	920
145	156	917
146	157	911
147	157	905
148	157	899
149	157	894
150	158	888
151	158	883
152	158	878
153	158	872
154	159	867
155	159	861
156	159	855
157	159	850
158	159	845
159	160	840
160	160	834
161	160	828
162	160	823
163	160	817
164	160	813
165	160	808
166	161	804
167	161	799
168	161	795
169	162	792
170	162	788
171	163	785
172	163	781
173	164	778
174	164	774
175	164	769
176	164	766
177	165	763
178	165	760
179	166	756
180	166	753
181	166	750
182	167	746
183	167	742
184	167	738
185	167	735
186	168	731
187	168	727
188	168	723
189	168	719
190	169	716
191	169	713
192	169	708
193	169	705
194	170	702
195	170	698
196	170	695
197	170	692
198	171	688
199	171	685
200	171	681
201	171	678
202	172	675
203	172	672
204	172	668
205	172	664
206	172	661
207	172	658
208	173	655
209	173	652
210	173	649
211	174	646
212	174	644
213	174	641
214	174	638
215	175	636
216	175	634
217	176	632
218	176	630
